director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,movie_facebook_likes,NumberedGenre,NumberedRating,SimpleScore
James Cameron,723.0,178.0,0.0,1000.0,760505847.0,Sci-Fi,CCH Pounder,Avatar ,886204,4834,3054.0,English,USA,PG-13,237000000.0,2009.0,7.9,33000,6,1,4
Gore Verbinski,302.0,169.0,563.0,40000.0,309404152.0,Fantasy,Johnny Depp,Pirates of the Caribbean: At World's End ,471220,48350,1238.0,English,USA,PG-13,300000000.0,2007.0,7.1,0,13,1,3
Christopher Nolan,813.0,164.0,22000.0,27000.0,448130642.0,Action,Tom Hardy,The Dark Knight Rises ,1144337,106759,2701.0,English,USA,PG-13,250000000.0,2012.0,8.5,164000,10,1,4
Andrew Stanton,462.0,132.0,475.0,640.0,73058679.0,Action,Daryl Sabara,John Carter ,212204,1873,738.0,English,USA,PG-13,263700000.0,2012.0,6.6,24000,10,1,3
Sam Raimi,392.0,156.0,0.0,24000.0,336530303.0,Adventure,J.K. Simmons,Spider-Man 3 ,383056,46055,1902.0,English,USA,PG-13,258000000.0,2007.0,6.2,0,20,1,3
Nathan Greno,324.0,100.0,15.0,799.0,200807262.0,Comedy,Brad Garrett,Tangled ,294810,2036,387.0,English,USA,PG,260000000.0,2010.0,7.8,29000,12,3,4
Joss Whedon,635.0,141.0,0.0,26000.0,458991599.0,Action,Chris Hemsworth,Avengers: Age of Ultron ,462669,92000,1117.0,English,USA,PG-13,250000000.0,2015.0,7.5,118000,10,1,4
Zack Snyder,673.0,183.0,0.0,15000.0,330249062.0,Adventure,Henry Cavill,Batman v Superman: Dawn of Justice ,371639,24450,3018.0,English,USA,PG-13,250000000.0,2016.0,6.9,197000,20,1,3
Bryan Singer,434.0,169.0,0.0,18000.0,200069408.0,Action,Kevin Spacey,Superman Returns ,240396,29991,2367.0,English,USA,PG-13,209000000.0,2006.0,6.1,0,10,1,3
Gore Verbinski,313.0,151.0,563.0,40000.0,423032628.0,Adventure,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,522040,48486,1832.0,English,USA,PG-13,225000000.0,2006.0,7.3,5000,20,1,3
Gore Verbinski,450.0,150.0,563.0,40000.0,89289910.0,Adventure,Johnny Depp,The Lone Ranger ,181792,45757,711.0,English,USA,PG-13,215000000.0,2013.0,6.5,48000,20,1,3
Zack Snyder,733.0,143.0,0.0,15000.0,291021565.0,Sci-Fi,Henry Cavill,Man of Steel ,548573,20495,2536.0,English,USA,PG-13,225000000.0,2013.0,7.2,118000,6,1,3
Andrew Adamson,258.0,150.0,80.0,22000.0,141614023.0,Fantasy,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,149922,22697,438.0,English,USA,PG,225000000.0,2008.0,6.6,0,13,3,3
Joss Whedon,703.0,173.0,0.0,26000.0,623279547.0,Sci-Fi,Chris Hemsworth,The Avengers ,995415,87697,1722.0,English,USA,PG-13,220000000.0,2012.0,8.1,123000,6,1,4
Rob Marshall,448.0,136.0,252.0,40000.0,241063875.0,Fantasy,Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,370704,54083,484.0,English,USA,PG-13,250000000.0,2011.0,6.7,58000,13,1,3
Barry Sonnenfeld,451.0,106.0,188.0,10000.0,179020854.0,Family,Will Smith,Men in Black 3 ,268154,12572,341.0,English,USA,PG-13,225000000.0,2012.0,6.8,40000,4,1,3
Marc Webb,599.0,153.0,464.0,15000.0,262030663.0,Adventure,Emma Stone,The Amazing Spider-Man ,451803,28489,1225.0,English,USA,PG-13,230000000.0,2012.0,7.0,56000,20,1,3
Ridley Scott,343.0,156.0,0.0,891.0,105219735.0,History,Mark Addy,Robin Hood ,211765,3244,546.0,English,USA,PG-13,200000000.0,2010.0,6.7,17000,19,1,3
Peter Jackson,509.0,186.0,0.0,5000.0,258355354.0,Adventure,Aidan Turner,The Hobbit: The Desolation of Smaug ,483540,9152,951.0,English,USA,PG-13,225000000.0,2013.0,7.9,83000,20,1,4
Chris Weitz,251.0,113.0,129.0,16000.0,70083519.0,Family,Christopher Lee,The Golden Compass ,149019,24106,666.0,English,USA,PG-13,180000000.0,2007.0,6.1,0,4,1,3
James Cameron,315.0,194.0,0.0,29000.0,658672302.0,Drama,Leonardo DiCaprio,Titanic ,793059,45223,2528.0,English,USA,PG-13,200000000.0,1997.0,7.7,26000,9,1,4
Anthony Russo,516.0,147.0,94.0,21000.0,407197282.0,Adventure,Robert Downey Jr.,Captain America: Civil War ,272670,64798,1022.0,English,USA,PG-13,250000000.0,2016.0,8.2,72000,20,1,4
Peter Berg,377.0,131.0,532.0,14000.0,65173160.0,Thriller,Liam Neeson,Battleship ,202382,26679,751.0,English,USA,PG-13,209000000.0,2012.0,5.9,44000,14,1,3
Colin Trevorrow,644.0,124.0,365.0,3000.0,652177271.0,Adventure,Bryce Dallas Howard,Jurassic World ,418214,8458,1290.0,English,USA,PG-13,150000000.0,2015.0,7.0,150000,20,1,3
Sam Raimi,300.0,135.0,0.0,24000.0,373377893.0,Adventure,J.K. Simmons,Spider-Man 2 ,411164,43388,1303.0,English,USA,PG-13,200000000.0,2004.0,7.3,0,20,1,3
Shane Black,608.0,195.0,1000.0,21000.0,408992272.0,Action,Robert Downey Jr.,Iron Man 3 ,557489,30426,1187.0,English,USA,PG-13,200000000.0,2013.0,7.2,95000,10,1,3
Tim Burton,451.0,108.0,13000.0,40000.0,334185206.0,Family,Johnny Depp,Alice in Wonderland ,306320,79957,736.0,English,USA,PG,200000000.0,2010.0,6.5,24000,4,3,3
Dan Scanlon,376.0,104.0,37.0,12000.0,268488329.0,Comedy,Steve Buscemi,Monsters University ,235025,14863,265.0,English,USA,G,200000000.0,2013.0,7.3,44000,12,6,3
